"huc12","CDL_name","areasqkm","pixel.coverage","percent.coverage"
"070400020501","Grass/Pasture",93.12,11669.3991842843,11.2784141600686
"070400020503","Grass/Pasture",69.75,7720.23353239463,9.96159165470275
"070400020703","Grass/Pasture",74.1,12008.0081406874,14.58462527209
"070400020801","Grass/Pasture",68.34,9755.62234810693,12.8476150326255
"070400020802","Grass/Pasture",77.2,11366.7000471411,13.2513342518484
"070400020902","Grass/Pasture",73.35,6633.66197930779,8.1394625512979
"070400020904","Grass/Pasture",69.92,6006.81869438419,7.7318890516959
"070400030105","Grass/Pasture",63.62,9295.34775623518,13.1496588818165
"070400030201","Grass/Pasture",65.88,12805.3217383767,17.4936089322086
"070400030401","Grass/Pasture",88.24,9226.19696845855,9.41021902947948
"070400030403","Grass/Pasture",67.54,8515.40638679266,11.3471509447933
"070400030404","Grass/Pasture",80.64,8404.70137302636,9.38024706810978
"070400030405","Grass/Pasture",91.61,10328.4454378322,10.1469281672841
"070400040304","Grass/Pasture",81.08,3232.37821783987,3.58798766163775
"070400040305","Grass/Pasture",75.09,12650.9288796632,15.1629191526127
"070400040501","Grass/Pasture",77.75,9591.99034964991,11.103268571942
"070400040502","Grass/Pasture",90.09,14458.0097755677,14.4435662093583
"070400040505","Grass/Pasture",85.22,9142.39497333041,9.65519300163972
"070400040509","Grass/Pasture",94.52,16666.6087619618,15.8696020797351
"070400040510","Grass/Pasture",69.6,8780.72376250121,11.3543841756481
"070400050101","Grass/Pasture",89.51,15015.7111443561,15.0979108813769
"070400050103","Grass/Pasture",89.49,15243.5685631098,15.3304410624638
"070400050203","Grass/Pasture",93.97,9155.69035331986,8.76888508884524
"070400050204","Grass/Pasture",71.76,7563.75378195569,9.48631327168356
"070400050205","Grass/Pasture",79.35,9047.8391342981,10.2621993961793
"070400050301","Grass/Pasture",76.31,12326.6337961814,14.5380296377451
"070400050401","Grass/Pasture",63.99,7103.25924843362,9.99051933675615
"070400050405","Grass/Pasture",81.18,10990.6969001191,12.1848080932584
"070400050502","Grass/Pasture",84.09,8721.45170991437,9.33441139127475
"070400070401","Grass/Pasture",72.51,3153.78164108785,3.91449934764731
"070400070402","Grass/Pasture",66.2,3858.41216667346,5.24557545318144
"070400071008","Grass/Pasture",84.6,7378.19984505896,7.84914877133932
"070400071101","Grass/Pasture",89.44,8984.25630160097,9.0405083535788
"070500051005","Grass/Pasture",84.05,7241.83292570253,7.75449093769456
"070500060203","Grass/Pasture",71.9,4680.65371877851,5.8589545853973
"070500060503","Grass/Pasture",71.5,9420.54960926797,11.8580344732044
"070500070502","Grass/Pasture",80.48,14039.4112278968,15.7001368105208
"070500070506","Grass/Pasture",92.87,14636.4192136237,14.1841039003568
"070500070606","Grass/Pasture",92.4,15639.1392512703,15.2329278421464
"070600010401","Grass/Pasture",74.88,16621.5982866045,19.977882556015
"070600020104","Grass/Pasture",69.1,4922.17323960341,6.41093475491037
"070600020202","Grass/Pasture",91.31,20464.8398445898,20.171236294087
"070600020204","Grass/Pasture",64.57,15865.9103497861,22.1144793476963
"070600020205","Grass/Pasture",91.51,24879.0215600267,24.4684945951525
"070600020501","Grass/Pasture",82.34,27897.3460808346,30.4926056263677
"070600040202","Grass/Pasture",73.71,10341.9320323671,12.6275116390319
"070600040203","Grass/Pasture",70.23,13097.0659454679,16.7839375636069
"070600040304","Grass/Pasture",72.56,9758.50470262501,12.1039887436087
"070600050303","Grass/Pasture",84.25,20348.0142379082,21.7367511146794
"070600050902","Grass/Pasture",79.02,12165.5917888382,13.8560270943487
"070700020702","Grass/Pasture",90.98,4256.35397900065,4.21050624434006
"070700021103","Grass/Pasture",75.5,2132.12487892261,2.54160581593424
"070700021506","Grass/Pasture",68.31,3563.86200926721,4.69547036794099
"070700021507","Grass/Pasture",78.18,5119.01796229473,5.89296004868925
"070700031102","Grass/Pasture",93.34,5496.95746785315,5.30025896836065
"070700040102","Grass/Pasture",89.99,25725.686165407,25.7285448926173
"070700040203","Grass/Pasture",87.27,23960.9680403512,24.7105204953777
"070700040302","Grass/Pasture",72.88,14725.1936895326,18.1842402861956
"070700040303","Grass/Pasture",85.99,14804.3527314566,15.494728989779
"070700050404","Grass/Pasture",64.19,7106.91907816635,9.96452277667817
"070700050903","Grass/Pasture",79.43,12094.052371771,13.7034459707842
"070700051001","Grass/Pasture",72.51,14093.0047397956,17.4923517663992
"070700060101","Grass/Pasture",90.92,25818.9332585816,25.5576770047552
"070700060302","Grass/Pasture",94.61,20466.0513370107,19.4688153507131
"070801020503","Grass/Pasture",76.49,9721.56060093938,11.4386253638978
"070801021001","Grass/Pasture",94.4,15643.9895561203,14.9148205513859
"070801030203","Grass/Pasture",91.75,22111.2328665706,21.689492730151
"070801030501","Grass/Pasture",78,9890.43949483313,11.4120455709613
"070801040404","Grass/Pasture",66.93,9765.36976829881,13.1313802352741
"070801040803","Grass/Pasture",90.85,9092.91555393278,9.00784149536544
"070801041004","Grass/Pasture",90.19,9989.73763832484,9.9686926205703
"070801041005","Grass/Pasture",82.11,4716.48122178283,5.16969078017848
"070801060601","Grass/Pasture",93.58,31026.619768063,29.8396642351536
"070802010101","Grass/Pasture",80.65,7216.07545567903,8.05265704911485
"070802010103","Grass/Pasture",75.34,3876.34440532535,4.63062113723496
"070802010301","Grass/Pasture",68.56,3404.19743992726,4.46875393222657
"070802010701","Grass/Pasture",77.28,4590.34635178698,5.3459002544103
"070802011103","Grass/Pasture",66.54,10832.1946072489,14.6513001901473
"070802020102","Grass/Pasture",89.84,5125.31752465069,5.13444542763315
"070802060202","Grass/Pasture",65.63,8925.28309984691,12.2394557212589
"070802060407","Grass/Pasture",63.79,18683.6389928289,26.3603622723719
"070802060603","Grass/Pasture",93,13531.5262647498,13.0950254174998
"070802090203","Grass/Pasture",86.19,27216.1127903329,28.4191919147228
"070802090205","Grass/Pasture",71.86,21074.2207431774,26.3940977857774
"070802090704","Grass/Pasture",77.99,6950.23217202847,8.02052693271653
"070802090801","Grass/Pasture",75.32,20484.0970023501,24.4764834069505
"070802091103","Grass/Pasture",73.6,14363.5721928674,17.5641507793215
"070900030901","Grass/Pasture",73.51,15285.3150759056,18.7141661927833
"070900031304","Grass/Pasture",71,8433.93733525598,10.6909064813104
"070900040501","Grass/Pasture",94.59,21720.4492733175,20.6664598223763
